env_step_num,reward_5,reward_2,reward_6,reward_1,total_agent_reward
0,0.0,0.0,0.0,-0.019777592439437282,-0.019777592439437282
1,0.0,-0.012914270727662363,0.0,-0.08427657265886761,-0.09719084338652997
2,0.0,-0.0297025226673577,0.0,-0.28932606034564395,-0.31902858301300163
3,0.0,-0.0017743423767387868,-0.017302167442860093,-0.31372282450179767,-0.3327993343213965
4,0.0,0.0,-0.03071954943216406,-0.2626285426331346,-0.29334809206529866
5,0.0,0.0,-0.14744097404920262,-0.21049463863601348,-0.3579356126852161
6,-0.01936429831082933,-0.018037601478863508,-0.01343423009517401,-0.21863327325836335,-0.2694694031432302
7,-0.0475185116282664,-0.017360697333002457,-0.01500108559939694,-0.14493387639853123,-0.224814170959197
8,-0.04748197020241058,-0.1262038227412495,-0.03907497060648167,-0.3273579007371466,-0.5401186642872884
9,-0.046044001100732555,-0.17223164822849168,-0.059642712104367085,-0.342101628100092,-0.6200199895336833
10,-0.08261876977784469,-0.4115685352299694,-0.1869909983328838,-0.13972632589732578,-0.8209046292380237
11,-0.04247534462930114,-0.4740915212006396,-0.12406836299800936,-0.066543549521673,-0.7071787783496231
12,-0.013546303746989015,-0.4262060806494774,-0.21846559288980502,-0.09620039421855471,-0.7544183715048262
13,0.0,-0.22102707340121236,-0.12697538483149926,-0.18762250193304908,-0.5356249601657607
14,-0.12114440234769305,-0.15050418373390806,-0.0794450850882178,-0.23239664165658402,-0.583490312826403
15,-0.1597736614462712,-0.12000767382748438,-0.22892985648242115,-0.45029155867150045,-0.9590027504276772
16,-0.10592523011174826,-0.12000443964612882,-0.12461004587771196,-0.29867409553407304,-0.6492138111696621
17,-0.09088769617447572,-0.15245341649264382,-0.2533296778883833,-0.6504905327371991,-1.147161323292702
18,-0.13048062891349566,-0.4078113749432905,-0.12368716723441539,-0.31249030974357916,-0.9744694808347808
19,-0.026295785574009634,-0.4700211678031429,-0.14444212945220056,-0.20867213651817845,-0.8494312193475315
20,-0.14184914266365667,-0.38633760920284754,-0.15741179490180285,-0.3344950654948953,-1.0200936122632023
21,-0.11340620050517969,-0.2929663192785224,-0.11050584683706993,-0.24387170910836703,-0.760750075729139
22,-0.13487148128706372,-0.10851700261402704,-0.10530356542230576,-0.08684496257175871,-0.4355370118951552
