env_step_num,reward_6,reward_2,reward_5,reward_1,total_agent_reward
0,0.0,0.0,-0.017086825125385056,-0.002613046708051119,-0.019699871833436175
1,0.0,0.0,-0.015688826571888564,-0.0988528926119481,-0.11454171918383667
2,0.0,0.0,-0.17269703064342007,-0.18104330716500072,-0.3537403378084208
3,0.0,-0.011621736450863942,-0.10648259792360029,-0.30737417381370463,-0.42547850818816885
4,0.0,-0.10851576734617122,-0.37717074091591896,-0.2554430369631553,-0.7411295452252454
5,-0.1578424036518657,-0.12474562810765533,-0.05730381596263714,-0.30332870950312785,-0.643220557225286
6,-0.09355513424462317,-0.07230265151964375,-0.09259623420015198,-0.18651288954113004,-0.4449669095055489
7,-0.04061328917822974,-0.10595059935222907,-0.2782180383073141,-0.16500969202114749,-0.5897916188589204
8,-0.04068917776467804,-0.11307744260847602,-0.28777434349873754,-0.09768875406832361,-0.5392297179402152
9,-0.04769892351212913,-0.13167566187534765,-0.3444040152816288,-0.10898830712917915,-0.6327669077982847
10,-0.004891831505112361,-0.1442153110930507,-0.08929852858392384,-0.1983172612862693,-0.4367229324683562
11,-0.10073297704493256,-0.21261848520221127,-0.12373782974388972,-0.11922068771286559,-0.5563099797038991
12,-0.168816614137196,-0.37658897614792775,-0.17987711934074507,-0.03673528246967608,-0.762017992095545
13,-0.28219638905195604,-0.09718561794162572,-0.2951392309519806,-0.06254348524604642,-0.7370647231916088
14,-0.2229076217019351,-0.04782208327420309,-0.22770366626308652,-0.05175365079400125,-0.550187022033226
15,-0.38685642893627803,-0.03340390701161003,-0.048829954966754574,-0.08925499551462887,-0.5583452864292715
16,-0.13473202411194646,-0.23949863286927853,-0.0056718638565431394,-0.05540327185112988,-0.43530579268889796
17,-0.08785470542216808,-0.23065625629481185,-0.022896841047797364,-0.11541829486707314,-0.45682609763185045
18,-0.05726488003373717,-0.24422845476996297,-0.061217366576232855,-0.06953421698813327,-0.4322449183680662
19,-0.02212690578820185,-0.4511327054445523,-0.1212421206863761,-0.04651245241286235,-0.6410141843319926
20,-0.12516257732412178,-0.34701423959593,-0.0868837542296702,-0.01961439418490043,-0.5786749653346224
21,-0.15841602781886505,-0.19240851647589818,-0.20182442658427235,-0.010061864029848966,-0.5627108349088846
22,-0.15090860302384312,-0.078561117991561,-0.14383319203193476,0.0,-0.37330291304733887
23,-0.09422521659590148,-0.15461452949691132,-0.1978003180581592,0.0,-0.446640064150972
24,-0.22814751184044624,-0.1037256746424348,-0.16379107836169107,-0.021606348953675417,-0.5172706137982476
25,-0.09302867620023964,-0.1022455463086333,-0.04961581092942589,-0.04206909848307257,-0.2869591319213714
26,-0.17650808856765507,-0.08414912954486911,-0.06209276615385899,-0.16556440839490433,-0.4883143926612875
27,-0.07984215776088653,-0.16745401518259806,-0.03265558701474216,-0.04588807247302591,-0.32583983243125264
28,-0.3067338861480431,-0.07481827359969784,-0.028663360575021602,-0.14097224842535,-0.5511877687481126
29,-0.2733341503727258,-0.017622823463270626,-0.027375838489504537,-0.04662420548889373,-0.36495701781439466
30,-0.1526126153199139,-0.026905165461124855,-0.06950544328032995,-0.054067172992276015,-0.3030903970536447
31,-0.035550878917565455,-0.03739973444119099,-0.09863179713758324,-0.11561893824208523,-0.2872013487384249
32,-0.025559130899240154,0.06299999999999999,-0.1454204601438347,-0.11608757170741002,-0.22406716275048488
33,-0.06291143467368962,-0.012616989028407258,-0.04429255103319701,-0.13773031468427227,-0.2575512894195662
34,-0.1001772927740826,-0.016113399727037177,-0.06561551416013389,-0.053764212142746334,-0.23567041880400003
35,0.0016508810110390194,-0.0016355869628023355,-0.05814078931487163,-0.05761912649008446,-0.1157446217567194
36,-0.023898721457226203,0.0,-0.10681103175061224,-0.05926865433226338,-0.18997840754010184
37,-0.015538579165702691,-0.002588073194026954,-0.14456182063868808,-0.0647958384191152,-0.22748431141753295
