env_step_num,reward_5,reward_2,reward_6,reward_1,total_agent_reward
0,-0.012060123159550143,0.0,0.0,0.0,-0.012060123159550143
1,-0.03481956580490806,0.0,0.0,0.0,-0.03481956580490806
2,-0.13031987175686374,0.0,0.0,-0.021273690207628544,-0.15159356196449228
3,-0.0018025147008753732,0.0,0.0,-0.039468753537501476,-0.041271268238376846
4,0.0,0.0,-0.08347162054769292,-0.16513440829169979,-0.2486060288393927
5,0.0,-0.0032620070427656243,-0.026702963457209992,-0.13847714226878158,-0.1684421127687572
6,0.0,-0.028811943376669674,-0.0032929002752062077,-0.2353824882834322,-0.26748733193530805
7,0.0,-0.01499070501280949,-0.0013162226900458407,-0.08856764464741557,-0.1048745723502709
8,0.0,-0.13167310407060112,-0.022603044719900926,-0.26333318563973723,-0.4176093344302393
9,0.0,-0.1025357285234072,-0.10561219465488261,-0.1057926925293166,-0.3139406157076064
10,0.0,-0.29728738525348103,-0.05037395276154653,-0.07190248320479997,-0.41956382121982755
11,0.0,-0.17315513976260688,-0.015,-0.10138385144760835,-0.28953899121021526
12,0.0,-0.19691237356778238,-0.04610426055942662,-0.23087746507867585,-0.4738940992058849
13,0.0,-0.20622468183702666,-0.09287175552986524,-0.04726137686368651,-0.34635781423057843
14,-0.15016152419941498,-0.17548589345874308,-0.23804515952093216,-0.07118341733747102,-0.6348759945165613
15,-0.1748775006006636,-0.09408243059189716,-0.29360538031576106,-0.048315123905077736,-0.6108804354133995
16,-0.32695587997893183,-0.07500827095633106,-0.18029510265834742,-0.015,-0.5972592535936103
17,-0.07994177321444083,-0.075,-0.0754089597196378,-0.015000000000000001,-0.24535073293407866
18,-0.0031564390866551583,-0.075,-0.075,0.0405549512449652,-0.11260148784168997
19,-0.00850289912079461,-0.15783476853174921,-0.075,-0.016104468610603388,-0.2574421362631472
20,-0.03365575343929228,-0.1937756375141188,-0.07500207684432046,-0.05384115297708872,-0.3562746207748203
21,-0.09351393664206901,-0.16116090798126123,-0.07672808934635864,0.0,-0.3314029339696889
22,-0.10842245420233876,-0.12188402096129014,-0.09686699540540575,-0.008196640191832536,-0.3353701107608672
23,-0.09873310559448367,0.026833286267430416,-0.22422045740077998,-0.047815642838133436,-0.3439359195659667
24,-0.02397573169855148,-0.08338602678587644,-0.34356519017690657,-0.060272641391726244,-0.5111995900530607
25,-0.026796478039352215,0.020000168081465965,-0.16029298475744386,-0.16374878618560693,-0.330838080900937
26,-0.021351136231562096,-0.1285248153163266,-0.13678359879227694,-0.06985518964517753,-0.3565147399853432
27,-0.04674300308534933,-0.16588387756022183,-0.1409843077063561,-0.015521080952071704,-0.369132269303999
28,-0.21308547451095794,-0.33499838795801395,-0.11842668617679741,-0.1367875263941841,-0.8032980750399534
29,-0.2541933331537761,-0.14557584888365646,-0.10499999999999989,-0.008471660977754598,-0.5132408430151871
30,-0.31200175748361875,-0.41173872692747737,-0.10500000000000016,-0.08782852245406997,-0.9165690068651664
31,-0.2520823517059711,-0.3181014036644669,-0.24302301310410254,-0.18286080596412996,-0.9960675744386704
32,-0.15481191167898972,-0.19190384055687448,-0.24889175265218913,-0.06906861875584033,-0.6646761236438937
33,-0.11457657072027529,-0.22023184239801352,-0.19184794274002315,-0.10586784482844418,-0.6325242006867561
34,-0.09932564566465038,-0.3559993682815556,-0.15540864352567577,-0.09902072803211778,-0.7097543855039995
35,-0.052589483301853764,-0.287405468565195,-0.10500000000000016,-0.12170276810699408,-0.566697719974043
36,-0.1691589936654066,-0.22054894824987467,0.2651746434346208,-0.07363148479795076,-0.19816478327861117
37,-0.16627209691975953,-0.1849431972134039,0.43728222854940346,-0.08843156189149154,-0.002364627475251513
38,-0.0620265600062579,-0.4139213921903151,0.627952767131299,-0.057210384375442104,0.09479443055928391
39,-0.03000000000000001,-0.32993218240027666,0.17563481870223768,-0.03524581291111703,-0.21954317660915604
40,-0.039810111867496716,-0.33616834942028906,0.0,-0.05085482370271352,-0.42683328499049933
41,-0.029654858974258003,-0.43554624559053806,0.0,-0.11328446104603349,-0.5784855656108295
42,-0.12042280165937938,0.023421387066908064,-0.132015799404037,-0.07611717856729848,-0.3051343925638068
43,-0.05474332579108886,0.1557350235054102,-0.25171255382205004,-0.1842368719213362,-0.3349577280290649
44,-0.024950181145248607,-0.05995582184403657,-0.255257400051875,-0.05238832691941768,-0.3925517299605779
45,-0.019975715540116654,-0.318890651503808,-0.48382730562925375,-0.07180548939085565,-0.894499162064034
46,0.0,-0.28295173895738457,-0.45826116672086714,-0.22449785275129222,-0.9657107584295439
47,0.0,-0.33684687030319255,-0.558713728292913,-0.1859945648905263,-1.0815551634866318
48,0.0,-0.3651825513437691,-0.5771436890201227,-0.2790032568975459,-1.2213294972614377
49,-0.015111703744391,-0.2119748436958767,-0.4637630668839654,-0.0755852585510632,-0.7664348728752963
50,-0.11237610039834632,-0.247733451376503,-0.29795122586944417,-0.10658648184262905,-0.7646472594869226
51,-0.32418858233276826,-0.04497208028200157,-0.25385767511166957,-0.07044060264807199,-0.6934589403745113
52,-0.21735967642411347,-0.030002201856295683,-0.2550372572651492,-0.024432848470052695,-0.526831984015611
53,-0.346616369715889,-0.06259371172660029,-0.25500570904678516,-0.1447162496258963,-0.8089320401151707
54,-0.19065953083228387,-0.10352014448340388,-0.2550011677893769,-0.0030737402984481006,-0.5522545834035127
55,-0.06527365141019682,-0.4651653964113929,-0.25500000000000017,-0.04416561821778302,-0.8296046660393728
56,-0.08731211891747077,-0.2697620636447153,-0.2549999999999999,-0.21860303215002197,-0.8306772147122079
57,-0.13757471651328088,-0.09555899914542489,-0.2549999999999999,-0.19080208935753687,-0.6789358050162425
58,0.010002313149732208,-0.14090471093872195,-0.38160056185583263,-0.16097942066141807,-0.6734823803062404
59,-0.042069778685923674,-0.28964437263310067,-0.42193109181502897,-0.10298824797952787,-0.8566334911135811
60,-0.05375886520044876,-0.19566390958832824,-0.3508126015512845,-0.047720231267645054,-0.6479556076077065
61,-0.0458054138105363,-0.25687040590955346,-0.2868321309637378,-0.06396205047867261,-0.6534700011625002
62,-0.0005775125292129779,-0.2603955525523889,-0.2925312571036628,-0.17309501882846412,-0.7265993410137288
63,0.0,-0.1658334709995979,-0.3015834317335392,-0.030195068699955616,-0.4976119714330927
64,-0.13731155467638748,-0.4108896398201517,-0.2610808145776395,-0.17808775929661189,-0.9873697683707905
65,-0.14435804354276544,-0.1750853378027103,-0.2549999999999999,-0.1739373279444624,-0.748380709289938
66,-0.195737143807533,-0.2933884934739035,-0.2549999999999999,-0.14785203671119895,-0.8919776739926354
67,-0.1266293731818537,-0.6005101566713827,0.05396231243110741,-0.011032316126616759,-0.6842095335487457
68,-0.03524498953437431,-0.2806980403333591,0.13618217284180015,-0.015002720159885085,-0.19476357718581835
69,-0.03439810553775169,-0.253840840723826,-0.6259001027796977,-0.015,-0.9291390490412753
70,-0.027807048443472003,-0.3144266408974704,-0.45668962136156,-0.014999999999999996,-0.8139233107025025
71,-0.03863826828962191,-0.31625254515570916,-0.5144403865192835,-0.06431450285948816,-0.9336457028241026
72,-0.04870330409845335,-0.2686351663421006,-0.35803012299068104,-0.069440405467776,-0.744808998899011
73,-0.01552495936607011,-0.3940442033073492,-0.2547430386578414,-0.06564675119335149,-0.7299589525246123
74,-0.08439587984425975,-0.28308877704502916,-0.2574195463504293,-0.06420465740418356,-0.6891088606439018
75,-0.07992441463469985,-0.2744276946043452,-0.22256769844492216,-0.057064662444360544,-0.6339844701283278
76,-0.11008024911635805,-0.3236879355139294,0.18022370700442772,-0.016859375004872577,-0.2704038526307323
77,-0.09816082258317647,-0.380039781280365,0.44853974994618495,-0.028058874099515393,-0.057719728016871905
78,0.0025074594458070042,-0.3526337778410216,0.827811241729373,-0.05507668300718071,0.4226082403269777
79,0.0,-0.305911441647392,0.6592801322405102,-0.05718598132161421,0.296182709271504
80,-0.005751776636112478,-0.3235576996358575,0.4539922517905488,-0.030658361701294812,0.094024413817284
81,-0.0314359569954686,-0.3431057226129339,-0.42233563543597535,-0.08649145263805985,-0.8833687676824378
82,-0.019567923652706688,-0.30489470608765346,-0.07772850120043213,-0.14474717858247696,-0.5469383095232693
83,-0.029681420559571094,0.20447834660011172,-0.0448799257914389,-0.14837270365506167,-0.01845570340595995
84,-0.05432690048923344,0.515304672216392,-0.15749792328802306,-0.2251198729285515,0.07835997551058393
85,-0.004622226769385538,0.7241380028977904,0.2323300125625768,-0.03888817698595317,0.9129576117050285
86,0.0,0.10593835432363992,0.5835780311504212,-0.10251517773146324,0.5870012077425979
87,0.0,0.23329653709222656,-0.09519589363954782,-0.21648435678781644,-0.07838371333513769
88,0.0,0.26336629960922925,-0.06891283342810124,-0.5129186584680353,-0.3184651922869073
89,0.0,0.02284714469772535,0.0,-0.7768522564560644,-0.7540051117583391
90,-0.019181555513758185,-0.09631113966221168,-0.00015741988457738997,-0.6172585395149808,-0.732908654575528
91,-0.040955074256751635,-0.6950228490877857,-0.01618052497087046,-0.6844743411612192,-1.4366327894766269
92,-0.014967932383762629,-0.8072045383184636,-0.03629637946840376,-0.5830683359212276,-1.4415371860918578
93,-0.1780990125179666,-0.7474958343064071,-0.1487916856558308,-0.43232895613717715,-1.5067154886173815
94,-0.14769362913111722,-0.5370186896292443,-0.05080270561996493,-0.5019780179117299,-1.2374930422920563
95,-0.6352668283256732,-0.6404646627197483,-0.026572726423619297,-0.3643985788373299,-1.6667027963063707
96,-0.5935963771835164,-0.45351664367463435,-0.04037553717894477,-0.37323247553735694,-1.4607210335744525
97,-0.45780885886194694,-0.15802842499430636,-0.05695009292545727,-0.34146724317629773,-1.0142546199580083
98,-0.4652213977305753,-0.27694725221267336,-0.11225050041914872,-0.5547373299348285,-1.4091564802972258
99,-0.5161006376513027,-0.6612711870838777,-0.10584802840360209,-0.5373544230005203,-1.8205742761393027
100,-0.41324708177543057,-0.7068086594648447,-0.1767863397512618,-0.5573834395189717,-1.8542255205105085
101,-0.5033051598874092,-0.7323191926093866,-0.10412589706927994,-0.2154074266321362,-1.555157676198212
102,-0.3871436627926035,-0.45468953551936503,-0.2288082806453316,-0.23668798298845203,-1.307329461945752
103,-0.1338630676848331,-0.3416399865846712,-0.0490666566916245,-0.5244217897114146,-1.0489915006725434
104,-0.2679076941879457,-0.27791937292818486,-0.0329608664335683,-0.4277033690779086,-1.0064913026276074
105,-0.33994003042027354,-0.3411201150100296,-0.009452407233649858,-1.0525013615251082,-1.7430139141890613
106,-0.5739920373832558,-0.25541245053110817,0.0,-0.47010112890484207,-1.299505616819206
107,-0.20658337151916104,-0.2550058250610291,0.0,-0.5523818179034744,-1.0139710144836647
108,-0.39543207207659276,-0.2550041498938407,0.0,-0.4678046654452678,-1.118240887415701
109,-0.3603503235961882,-0.3676091271542762,0.0,-0.32137192026851724,-1.0493313710189816
110,-0.39853778020902775,-0.39306536109582624,-0.15989520294344975,-0.1922951465364453,-1.143793490784749
111,-0.534795703718366,-0.3626946620876832,-0.15672649016569196,-0.2665262628907544,-1.3207431188624956
112,-0.25056019383732264,-0.3544962530834668,-0.17368476065810234,-0.3086659072912557,-1.0874071148701474
113,-0.04711887839181133,-0.28020488362729545,-0.17679869938921558,-0.2593129476376287,-0.7634354090459511
114,-0.2340666004579966,-0.29918474063985095,-0.2247167033112128,-0.3663683347495955,-1.124336379158656
115,-0.3814839841917775,-0.10660637037995432,-0.14440123334962593,-0.2928180230164756,-0.9253096109378334
116,-0.5882572653607141,0.13087539787134425,-0.37578424751848166,-0.23506048627675025,-1.0682266012846018
117,-0.9764646293080669,0.285632095139165,-0.22029673226937568,-0.2892571189590363,-1.2003863853973138
118,-0.6811275551979789,0.2561842109821198,-0.10274328416432779,-0.24022653511785555,-0.7679131634980424
119,-0.6865977923559579,-0.027400324288815087,-0.14456092120726494,-0.3603553341402298,-1.2189143719922677
120,-0.7318997461731579,0.21300703132764437,-0.4246820350779238,-0.25592687725216207,-1.1995016271755994
121,-0.50813598392554,-0.08952095807441125,-0.6113512304632261,-0.26716384361650686,-1.4761720160796843
