env_step_num,reward_2,reward_6,reward_5,reward_1,total_agent_reward
0,0.0,0.0,-0.017086825125385056,-0.002613046708051119,-0.019699871833436175
1,0.0,0.0,-0.015688826571888564,-0.0988528926119481,-0.11454171918383667
2,0.0,0.0,-0.17319703064342007,-0.18104330716500072,-0.3542403378084208
3,0.0,0.0,-0.1089825979236003,-0.3963216833880623,-0.5053042813116626
4,0.0,0.0,-0.3041797622662761,-0.207702128115923,-0.5118818903821991
5,-0.014933040805161007,0.0,-0.12279345642507158,-0.4140236434184275,-0.5517501406486601
6,-0.05302594683645291,0.0,-0.10152794303916307,-0.42135545899696847,-0.5759093488725844
7,-0.17482102083836776,-0.00559022873733193,-0.2690126590001152,-0.3439755123247572,-0.793399420900572
8,-0.2573366913375224,-0.13458161862096613,-0.22251406504396165,-0.28481637934495546,-0.8992487543474057
9,-0.13890108729920547,-0.26595427433324337,-0.2704819605230243,-0.3417100623361736,-1.0170473844916468
10,-0.13814368971540542,-0.1330283905837673,-0.17821643178470747,-0.1215067859112485,-0.5708952979951287
11,-0.15562570708390117,-0.17966259827280695,-0.1806127124503391,-0.19550966235544762,-0.7114106801624949
12,-0.16088005649601594,-0.20483951119143218,-0.3443683293811556,-0.25485795138302314,-0.9649458484516269
13,-0.5029132246523005,-0.2173402606321188,-0.22983525073154865,-0.08564403060661002,-1.035732766622578
14,-0.16177221214213772,-0.16963630251241113,-0.2130308076378478,-0.003467749954558159,-0.5479070722469548
15,-0.1523891417310685,-0.15087703549265818,-0.20400055453715885,-0.0695886977207384,-0.5768554294816239
16,-0.19802105175203258,-0.33961280570155716,-0.04855922211261285,-0.06053229597071185,-0.6467253755369144
17,-0.3563370853235083,-0.1383881720875868,0.007371338991913962,-0.14134539849217045,-0.6286993169113516
18,-0.18647107296682175,-0.4393662462025517,-0.06530588697826877,-0.06969627441209746,-0.7608394805597397
19,-0.4686319872415527,-0.15335016470614585,-0.21591091595219308,-0.058336922112153786,-0.8962299900120455
20,-0.24116183322229995,-0.3510050547761569,-0.30886127169641187,-0.01417165228794328,-0.915199811982812
21,-0.14510352973194696,-0.2568431554753586,-0.27392312613527947,-0.13139130777294133,-0.8072611191155263
22,-0.08142427724110893,-0.14828932884814877,-0.10599891514864787,-0.01697896869791711,-0.35269148993582267
23,-0.04683978681126612,-0.21974666545344118,-0.16495371897613287,0.011990358861786572,-0.4195498123790536
24,-0.030737004366470505,-0.2998843980742313,-0.11907006329465053,-0.01682271364633923,-0.4665141793816916
25,-0.08242247713286635,-0.2145919684337901,-0.053358692409237796,-0.018800296398578203,-0.3691734343744725
26,-0.12696879091131066,-0.20562922075188866,-0.07002542446236815,-0.15442109565798962,-0.5570445317835571
27,-0.2692420375907719,-0.1275369055160523,-0.11811907816864589,-0.05243763677210769,-0.5673356580475778
28,-0.17704680313852939,-0.12818846824866134,-0.08539461436402052,-0.17090408081655567,-0.561533966567767
29,-0.044902832057336944,-0.0511390710993461,-0.01968698435539446,-0.04931455469927763,-0.16504344221135514
30,-0.027017636383617098,-0.17084532827007798,-0.05132141360198146,-0.08296073775819644,-0.332145116013873
31,-0.07396982716146111,-0.08956952163849731,-0.10645151319314489,-0.1429259026986774,-0.4129167646917807
32,-0.013664065768709401,-0.0809617025400182,-0.05924314535741419,-0.19076822484634023,-0.344637138512482
33,-0.023312380150658993,-0.11040401310107459,-0.1255484306873076,-0.1836876878363279,-0.4429525117753691
34,-0.012095886150375,-0.1089446327204906,-0.06267574963100578,-0.036749929969316725,-0.22046619847118812
35,-0.008051841417793177,0.002649246640448749,-0.07247980407020072,-0.03547350126299688,-0.11335590011054202
36,0.0,-0.037045705470722196,-0.09427142783689291,-0.04193395885778597,-0.17325109216540108
37,-0.010440250008134165,-0.005510757431155059,-0.13433341184211345,-0.04647703152545725,-0.19676145080685992
38,-0.016405123304342836,0.0,-0.12894265673768068,0.065094789495169,-0.08025299054685453
